kleur,getal,naam,opmerking,kernwoord,steekwoorden,uitnodiging,waarschuwing,symbolen
groot,X,Het Rad van Fortuin,Wiel van Fortuin,LOT,"Aanvaarding, succes of falen.",Wie niet waagt die niet wint.,Je laat teveel aan het toeval over.,"engel, stier, leeuw, sfinx, slang, hermanubis, tora, feniks"
groot,XI,Kracht,Waite VIII,BEHEERSING,"Met respekt omgaan met kracht en emoties, temmen",Een besliste maar zachte hand is nodig.,Die Leeuw mag best af en toe eens brullen.,"jonge vrouw, leeuw, bloemenkrans, lemniscaat, bergtop, oranje"
groot,XII,De Gehangene,,PERSPECTIEF,"Ergens aan vast zitten, consequenties aanvaarden, beproeving, ommekeer, herprioriteren",Vrije wil is blijmoedig doen wat je moet doen.,Waardoor zit je vast?,"volwassen man, ondersteboven, aureool, kruis, blauw, staf"
groot,XIII,De Dood,De Kaart zonder Naam,TRANSFORMATIE,"vernietiging van het oude, doorbraak, het onvermijdelijke, afsluiting, vergankelijkheid, voltooiing, overgang naar het onbekende",Acceptatie is de eerste stap op weg naar verandering.,Steek je energie in iets wat onhaalbaar is?,"wit, vaandel, wolken, toren, zon, koning, bisschop, jonge vrouw, kind, boot, man, stroom, paard, afgewend, zwart, zon, roos, harnas, doodshoofd"
groot,XIV,Matigheid,,HARMONIE,"Afwegen, evenwicht verstand en gevoel, integratie, zuinigheid, tact",Wat kan je weglaten?,"Overmaat schaadt, ondermaat ook.","engel, natuur, iris, kelken, pad, driehoek, stroom, berg, vierkant met driehoek"
groot,XV,De Duivel,,VERLEIDING,"Obsessie, de Schaduw, sexualiteit, zwart-wit denken, fanatisme, materialisme",Welke principes zitten je in de weg?,Zit je verstrikt in dat wat niet goed voor je is?,"geit, vleermuisvleugels, vogelpoten, borsten, troon, zegening, vierkant, toorts, naaktheid, ketens, pentagram, zwart"
groot,XVI,De Toren,Het Huis Gods,RAMPSPOED,"Onvoorziene verandering, crisis, vertwijfeling, loslaten van zekerheid, noodlot, toren van Babel",Wat moet je openbreken?,Zit je gevangen in vastgeroeste patronen?,"toren, vuur, bergtop, wolken, bliksem, kroon, yod, zwart"
groot,XVII,De Ster,,HOOP,"bezieling, wees de ster in je eigen leven, de sterren bereiken",Durf vol vertrouwen je toekomst tegemoet te zien.,"Valse hoop, misplaatst vertrouwen.","ster (achtpuntig), naaktheid, jonge vrouw, kelken, heuvels, feniks, water"
groot,XVIII,De Maan,,SCHEMER,"verlangens, droom en daad, behoefte aan bescherming,uit je schulp kruipen, dwaling, stemmingswisselingen, onbestemde angst, hersenschimmen, betovering",Durf je angsten onder ogen te zien,Waar ben je zo bang voor?,"maan, pad, hond + wolf, water, kreeft, yod, toren, pilaren"
groot,XIX,De Zon,,OPTIMISME,"creativiteit, speelsheid, levenslust, zelfvertrouwen, je hart, je kern",Wees ongedwongen jezelf,Het speelkwartier is allang voorbij.,"kind, bloemenkrans, wit, rood kleed, zon, zonnebloem, golven"
groot,XX,Het Oordeel,,VERLOSSING,"Transformatie, het laatste oordeel, verrijzenis",Laat het verleden los.,Waar heb je je de hele tijd van afgesloten?,"engel, wolken, bazuin, volwassen man, volwassen vrouw, kind, grijs, naaktheid, berg"
groot,XXI,De Wereld,,LEVEN,"Het leven aangaan zonder jezelf er in te verliezen, hervonden paradijs",Ga voluit voor wat je wilt bereiken.,Het is tijd voor bezinning.,"jonge vrouw, staven, lauwerkrans, leeuw, stier, arend, engel"
Staven,,Aas,,DROOM,"visie, enthousiasme, vitaliteit.",Sta open om te groeien,Wat doe ik aan mijn ontplooiing?,"wolken, stroom, heuvels, burcht, hand, rechts, grijs"
Staven,2,II,,PLANNEN,"pionieren, opties afwegen",Alle begin is moeilijk.,Vernieuwing is nog geen verbetering.,"links, water, muur, globe, roos, lelie, berg, rood kleed, grijs"
Staven,3,III,,AFWACHTEN,"vooruitzien, handel, ontdekkingsreizen",Wacht rustig af,Je kunt nu niet meer terug.,"rechts, rood kleed, groen kleed, boot, water, heuvels, geel"
Staven,4,IV,,OOGSTEN,"resultaten vieren, harmonieuze samenwerking, terugkerende feesten",Je initiatief is vruchtbaar.,Het is nog te vroeg om op je lauweren te rusten.,"kasteel, wit kleed, rood kleed, blauw kleed, bloemen, oranje"
Staven,5,V,,WEDIJVEREN,"schijngevecht, rellen",Laat je niet zomaar opzij zetten,Blijf niet hangen in gekissebis.,
Staven,6,VI,,TRIOMFEREN,"zegevieren, mijlpaal, beginnend succes, waardering, groot nieuws",Stel je op als een leider,Eén zwaluw maakt nog geen zomer,"groen kleed, lauwerkrans, paard"
Staven,7,VII,,HANDHAVEN,"staande houden, vaak alleen, overmacht, gunstige positie",Neem het voor jezelf op.,Vraag niet voortdurend goedkeuring. Doe het gewoon!,"stroom, heuvels"
Staven,8,VIII,,OPLIJNEN,"veel energie, alles op één lijn, van een lijen dakje, haast, liefdespijlen",Laat je meevoeren,Blijf zelf aan het roer,"stroom, heuvels, linksboven, rechtsonder"
Staven,9,IX,,WAKEN,"op krachten komen, verzet, achterdocht, oponthoud, uitstel",Bekijk het eens uit het perspectief van de ander,Is de dreiging wel echt?,muur
Staven,10,X,,VOLHOUDEN,"afmaken, heroverwegen, opstand tegen onderdrukking",Wie kan je helpen om deze last te dragen?,Laat op tijd los,stadsmuur
Staven,,Page,,BOODSCHAPPER,op ideeën komen.,Grijp je kans!,Pas op voor (te) mooie verhalen,"heuvels, pyramide, rood kleed, blauw"
Staven,,Ridder,,VURIG,"idealen koesteren, overtuigingskracht.",Laat jezelf eens lekker gaan,Wie/wat zet je in vuur en vlam?,"salamander, geel, oranje, paard, harnas, vuur, pyramide"
Staven,,Koningin,,KUNDIG,"je eigen belevings- en verbeeldingswereld, onafhankelijk, identiteit, zelfvertrouwen",Geloof in jezelf.,Neem ook eens iets van een ander aan,"geel kleed, grijs kleed, troon, leeuw, zonnebloem, kroon, bloemenkrans, zwarte kat"
Staven,,Koning,,INTEGER,"creatief, inspirerend, charmant, geestig, rechtvaardig, gedreven",Hoe zou hij het aanpakken?,Eerlijk duurt het langst,"salamander, geel, rood kleed, groen kleed, troon, kroon, ourobouros, afgewend, leeuw, oranje"
Pentakels,,Aas,,POTENTIE,"kunde, tot stand brengen, realisme, waarde",Hoe kan je deze kans verzilveren?,Lever een constructieve bijdrage.,"hand, wolken, boog, bloemen, links, roos, lelie, pad, bergtop, blauw"
Pentakels,2,II,,JONGLEREN,"evenwicht zoeken/houden, uitgekiende inzet van middelen, oefenen, schijnplezier",Speel met je mogelijkheden,Je kan niet alle opties open houden,"lemniscaat, golven, boot, jonge man, blauw"
Pentakels,3,III,,BEWIJZEN,"waardering, vakmanschap, uitvoering, inzet, proef, presenteren",Waarmee kan je jezelf bewijzen?,Sta open voor feedback,"monnik, hamer, grijs, zwart"
Pentakels,4,IV,,VASTHOUDEN,"houden wat je hebt, energiestroom blokkeren, hebzucht",Wees zuinig op je mogelijkheden.,Wat probeer je te krampachtig vast te houden?,"toren, paars"
Pentakels,5,V,,VREZEN,"(angst voor) ontbering, gebrek, kou, angst voor de toekoms",Wat heb je echt nodig?,Angst is een slechte raadgever.,bel
Pentakels,6,VI,,BEDELEN,"Bedelen vs beDElen, arm vs rijk, zaaien",Delen = vermenigvuldigen,Ben je bereid hulp te accepteren?,"rood kleed, zegening, boom, burcht, weegschaal, geel kleed, blauw kleed"
Pentakels,7,VII,,VERLANGEN,"ongeduld, onvrede, beheren",Kijk het nog even aan. Zie je voortgang.,Blijf niet toekijken,"staf, paars"
Pentakels,8,VIII,,OEFENEN,"oefenen, nederig werk, ambachten, kundigheid",Wat zou je willen leren?,Moet je niet eens iets nieuws proberen?,"hamer, geel"
Pentakels,9,IX,,GENIETEN,"vervulling, verfraaien, zekerheid, meevaller",Geniet van wat je doet.,Ben je alert op nieuwe kansen?,"druiven, kasteel, geel, valk, wijnhuisslak"
Pentakels,10,X,,DOORGEVEN,"traditie, iets opbouwen, zekerheid, welvaart, familiezaken",Draag bij aan het grotere geheel.,Wees niet te gefixeerd op zekerheid.,"druiven, hond, burcht, toren, poort, weegschaal, oude man"
Pentakels,,Page,,LEERGIERIG,"behulpzaam, precies, kritisch, student, ijverig",Hoe kun je jezelf nuttig maken?,Pas op voor vluchtige belangstelling,"natuur, heuvels, bloemen, groen kleed, stroom, geel"
Pentakels,,Ridder,,STANDVASTIG,"organisatievermogen, degelijk, plichtgetrouw, praktisch",Richt je op het haalbare.,Hoe stevig is je basis?,"paard, harnas, rood kleed, afgewend, geel"
Pentakels,,Koningin,,ZORGZAAM,"innerlijke zekerheid, zelfwaardering, royaal",Kies voor rust en geleidelijkheid.,Je hoeft niet alles te behouden,"natuur, troon, kroon, bloemen, berg, cupido, geit, haas, afgewend, geel"
Pentakels,,Koning,,ONDERNEMER,"standvastigheid, autoriteit, realiserende intelligentie, rechtlijnig, besluitvaardig",Ga voor realistische ambitie,Bezit maakt niet gelukkig,"stier, druiven, troon, kroon, harnas, geel"
Zwaarden,,Aas,,VISIE,"helderheid van geest, objectiviteit",Welke beslissing moet je nu nemen?,Heb je alles goed overwogen?,"wolken, hand, kroon, robijn, olijfblad, palmtak, zwaard geheven, blauw"
Zwaarden,2,II,,TWIJFELEN,"relativeren, twee kanten van de medaille zien, dilemma, elke keuze is beter dan geen keuze",Luister naar je innerlijke stem,Is het belangrijk om alles zo veel te analyseren?,"wit kleed, water, heuvels, kubus, blinddoek, maan, blauw"
Zwaarden,3,III,,DOORBOREN,"pijn, verdriet",Ben je sterk genoeg om te doen wat noodzakelijk is?,Laat je niet beheersen door je verdriet,"hartvorm, wolken, grijs, regen"
Zwaarden,4,IV,,BEZINNEN,"overwegen, rusten, herstellen, retraite, testament",Slaap er een nachtje over.,Waarom staat alles stil?,"grijs, ridder"
Zwaarden,5,V,,MISGUNNEN,"debatteren, negatieve gedachtepatronen, verraad, degradatie, oneer",Eerlijk duurt het langst,Is het belangrijk om persé te winnen?,"afgewend, oranje, blauw"
Zwaarden,6,VI,,OVERSTEKEN,"je terug trekken, vlucht",Maak een nieuw begin,Is het gras echt groener?,"water, golven"
Zwaarden,7,VII,,SLUIPEN,"slimheid, spitsvondigheid, oneerlijkheid",Verzin een list.,Je wordt in de maling genomen.,oranje
Zwaarden,8,VIII,,VASTLOPEN,"negatieve gedachtenpatronen, censuur, ziekte, schaamte, verdenking",Laat alle remmende gedachten los,Wat houdt je tegen?,"blinddoek, burcht, stroom, berg, grijs"
Zwaarden,9,IX,,ONTWAKEN,"dagend inzicht, zelfverwijt, vertwijfeling",Laat dit eerst bezinken.,zijn je zorgen terecht?,"afgewend, roos, wit kleed, oosten, vrouw, zwart"
Zwaarden,10,X,,BEEINDIGEN,"destructieve gedachten, voortijdig einde",Waar moet je nu rigoureus een streep onder zetten?,Is het verstandig om er nu radicaal mee te breken?,"water, zon, heuvels, rood kleed, zegening, zwart"
Zwaarden,,Page,,ALERT,"verstand van zaken, opmerkzaam, escalatie",Laat het over je heen komen,Komt de dreiging wel van buiten?,"wolken, heuvels, vogel, water, grijs, zwaard geheven"
Zwaarden,,Ridder,,ONSTUIMIG,"onverwachte doorbraak, confrontatie, bekwaamheid, dapperheid","Bezint, eer ge begint",Is dit geen storm in een glas water?,"oranje, rood kleed, paard, harnas, vogel"
Zwaarden,,Koningin,,WIJS,"innerlijke overtuiging, eerlijkheid, levenswijsheid, heldere/rustige geest, deugdzaam, streng",Blijf bij de hoofdzaken,Wat is de meest logische verklaring?,"afgewend, wolken, troon, kroon, wit kleed, volwassen vrouw, zwaard geheven, cupido, vogel, grijs"
Zwaarden,,Koning,,DENKER,"De gedachte gaat aan de manifestatie vooraf, handhaver, rationeel, skeptisch, hard, dominant",Kom tot een conclusie,Schenk ook aandacht aan de relatie,"troon, kroon, blauw, paars kleed, wolken, heuvels, boom, zwaard geheven, vogel"
Kelken,,Aas,,OVERVLOED,"verlangen naar eenheid en verbondenheid, overgave, bewustwording, de bron, de Graal.",Laat je gevoel stromen.,Laat deze kans niet schieten,"rechts, hand, wolken, waterbron, duif, yod, lelie, hostie, blauw"
Kelken,2,II,,VERBINDEN,"verlangen naar een partner (eventueel platonisch), gevoel vs verstand, valse liefde",Treed de ander liefdevol tegemoet,Sta ik open voor een eerlijk compromis?,"lauwerkrans, roos, slang, leeuw, heuvels, hermesvleugels"
Kelken,3,III,,FEESTEN,"plezier hebben, blijheid, genezing, troost",Laat jezelf eens lekker gaan.,Succes moet je vieren,"druiven, bloemen, rood kleed, geel kleed, wit kleed, blauw"
Kelken,4,IV,,MOPPEREN,"verlangen naar meer, lusteloosheid",Wat heb je wél?,Is je onvrede wel terecht?,"hand, wolken, boom, links"
Kelken,5,V,,BETREUREN,"teleurstelling, verlies, desillusie",Wat blijft er over?,Blijven hangen in verdriet.,"grijs, stroom, brug, burcht, afgewend, zwart kleed, bloed, groen"
Kelken,6,VI,,HERINNEREN,"verbinden, delen vanuit overvloed, vreugde schenken, (zinloze) nostalgie",Verheug je in kleine dingen.,Behoudt het goede,"dwaas, vrouw, lelie, burcht"
Kelken,7,VII,,MISLEIDEN,"visioenen, illusie, mystery guest, verbeelding, vergankelijke weelde",Wat heb je werkelijk nodig?,Klatergoud.,"slang, lauwerkrans, draak, edelstenen, burcht, engel, wolken, afgewend, doodshoofd, zwart"
Kelken,8,VIII,,WEGLOPEN,"illusies achter je laten, het roer om, een nieuw pad kiezen",Laat het verleden los.,Een nieuwe illusie najagen.,"maan, water, berg, rood kleed, blauw"
Kelken,9,IX,,WAARDEREN,"evenwichtigheid, dromen zijn werkelijkheid geworden, innerlijk geluk",Sta eens stil om écht te genieten,Kan je je zorgen loslaten en genieten?,blauw kleed
Kelken,10,X,,THUISKOMEN,"welzijn, voltooiing, samen (gezin/dorp/gemeente), veilig, geborgen",Maak ruimte voor gezamenlijk geluk,Wat van ver komt is niet altijd lekkerder,"regenboog, stroom, gezin, huis, afgewend"
Kelken,,Page,,VERWONDERD,"fantasie, verbeelding, puberteit, vlijtige jeugd",Laat je verwonderen,Pas op voor goedgelovigheid.,"lotus, vis, golven, blauw"
Kelken,,Ridder,,VERZOENER,"aanvoelen, betrokkenheid, waarheidsvinding, voorstel",Met wie wil je vrede sluiten?,Zorg voor een goede verstandhouding.,"hermesvleugels, harnas, paard, stroom, heuvels, vis, afgewend, blauw"
Kelken,,Koningin,,ZIENER,"inlevingsvermogen, innerlijk weten, visioenen/dromerig, gedistingeerd",Erover praten kan je beeld verhelderen.,Vergeet jezelf niet,"golven, troon, kroon, wit kleed, afgewend, blauw"
Kelken,,Koning,,RAADSMAN,"bewustwording, compassie, gevoelig man, onderhandelaar, brede belangstelling, wetsman, wetenschapper",Ben jij een rots in de branding?,Vergeet je eigen gevoelens niet,"golven, vis, boot, kroon, troon, scepter, geel kleed, blauw"
